,job_title,company,location,job_summary
0,Data Scientist,Indeed Prime,"Toronto, ON","indeed prime is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles.
with one application you can be considered for thousands of tech roles from leading companies on indeed prime.

how indeed prime works
we find out what's important to you and match you with your dream job
get started – complete a 5-minute application to be considered for roles at hundreds of leading companies
get matched – companies apply to you with opportunities that reflect your role, location and salary specifications
get career coaching – level up with free 1:1 coaching, our team will make sure you're ready to tackle any interview
get your dream job

skills and requirements
we look for top tech talent to join the indeed prime platform. each candidate is reviewed on the following to make sure you're a good fit for our network

in demand skills
from strong communication skills to experience with the latest technologies, you have what employers are looking for

stand out qualities
you bring unique qualities and traits that stand out and make an impact

change ready
you are ready for a career changes and will be responsive to employers who reach out with job opportunities

get matched with top tech companies on indeed prime!"
1,Data Scientist - Client Success,Equifax,"Toronto, ON","would you like to work in a fully agile environment? your main objective as a data scientist at equifax will be to work directly with customers to support their use of key analytical products, utilising your technical and analytical background.
who are we at equifax?
we are a global information solutions company that uses trusted unique data, creative analytics, technology and industry expertise to power organizations and individuals around the world by transforming knowledge into insights that help make more informed business and personal decisions.
regardless of location or role, the individual and collective work of our people makes a difference in our business.
we are looking for individuals who can help us disrupt the marketplace. you will do this by delivering leading-edge technology to build and deliver unparalleled customized insights that enrich both the performance of businesses and the lives of consumers.
about the job
we will give you the opportunity to drive innovation and automation across the enterprise. this includes tool and process integrations across all business units within equifax globally.
you will be a main point of contact for our clients to assist them in developing new queries or advise on appropriate analytical techniques to address a variety of business issues. by using your deep knowledge of equifax data assets, you will proactively produce analytics to generate additional value from the different solution installations. this will include advanced modeling techniques and machine learning when applicable.
in addition to supporting specific analytical platforms, our new data scientist may be deployed directly with customers for special projects. this could include the application of specific skills, such as machine learning, or represent additional capacity to the customer for key work. the broad experience of our data scientist will provide strong domain expertise that will deliver better outcomes for key customers.
responsibilities of the data scientist – client success include:
you will utilise tools, including python, r, sql and sas to extract data and assist others users to improve the performance of queries.
by working closely with customers, you will understand the objectives of their projects and be able to interpret the business need into a sound analysis plan that considers all relevant data.
utilising your teamwork skills, you will collaborate with the data management team to load new data into the environment as needed and work closely with the it system administrators to ensure data quality remains strong.
effectively communicate analytical results to key partners using strong data visualizations, strong presentation skills and business language to emphasize the so what of the analysis.
you’ll act as the primary contact for equifax customers using ignite solutions (equifax product) to answer technical inquiries or provide guidance on the use of equifax data within specific analytical methodologies.
you will continually mine the data assets to identify emerging trends and proactively inform key partners within the assigned customers to drive and influence strategy.
by demonstrating your experience with data visualization tools, you will improve productivity while ensuring results are consistent across the organization.
use advanced techniques or partner with statisticians to build out predictive models that address new opportunities for a customer based on a deep understanding of their business need
requirements
required skills:
proven hands-on experience designing and building analytical solutions to solve real world problems, with limited direct supervision required
3+ years’ data manipulation experience with deep knowledge of r, python, sas or sql in a large data environment
strong knowledge of hadoop tools such as hive or impala
demonstrable experience in a client-facing role with direct contact and client management responsibilities for specific deliverables
3+ years using advanced analytical techniques including decision trees, logistical regression, and, preferably, machine learning methodologies
experience or strong knowledge of a key industry including retail lending, credit cards, mortgages, auto lending, government or telco
experience with data visualization tools (spotfire, tableau, qlik) is an asset
preferred skills:
working knowledge of database design, data modeling, risk management and/or marketing practices, statistical/predictive modeling
education
bachelor’s or advanced degree in a quantitative discipline such as engineering, economics, mathematics, statistics, or physics (essential)
master’s level degree in a business-related field/mba (preferred)
what else?
we are an equal opportunity employer and value diversity at our company. we do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
to speak to us about this role in more detail apply online.
primary location:
can-toronto-5700 yonge
function:
function - data and analytics
schedule:
full time"
2,Data Scientist,Proex Inc,"North York, ON","data scientist
(4-month contract)
toronto, on
pharmaceutical manufacturing

your task:
write algorithms on anomaly detection
your background:
manufacturing would be the ideal, but finance experience is also of interest (writing algorithms for fraud prevention is a good parallel to the type of anomaly detection that is required for this assignment)
pharma experience would be an asset, but not necessary.

[alten-email email=heather@proex.ca]"
3,Data Scientist - Engineering,Capital One,"Toronto, ON","161 bay street (93021), canada, toronto,toronto, ontario,
at capital one, we’re building a leading information-based technology company. still founder-led by chairman and chief executive officer richard fairbank, capital one is on a mission to help our customers succeed by bringing ingenuity, simplicity, and humanity to banking. we measure our efforts by the success our customers enjoy and the advocacy they exhibit. we are succeeding because they are succeeding.

guided by our shared values, we thrive in an environment where collaboration and openness are valued. we believe that innovation is powered by perspective and that teamwork and respect for each other lead to superior results. we elevate each other and obsess about doing the right thing. our associates serve with humility and a deep respect for their responsibility in helping our customers achieve their goals and realize their dreams. together, we are on a quest to change banking for good.
data scientist - engineering
job description
at capital one, data is at the center of everything we do. when we launched as a startup we disrupted the credit card industry by individually personalizing every credit card offer using statistical modeling and the relational database, cutting edge technology in 1988! fast-forward a few years, and this little innovation and our passion for data has skyrocketed us to a fortune 200 company and a leader in the world of data-driven decision-making.
as a data scientist at capital one, you’ll be part of a team that’s leading the next wave of disruption at a whole new scale, using the latest in distributed computing technologies and operating across billions and billions of customer transactions to unlock the big opportunities that help everyday people save money, time, and frustration in their financial lives.
on any given day, you could be:
writing software to clean and investigate large, messy data sets of numerical and textual data
integrating with internal and external data sources and apis to help uncover new trends and improve analysis
developing highly scalable data pipelines, tools, and products to enable the analyst community to fully leverage the power of aws
streamlining the deployment and maintenance of machine learning models by facilitating efficient model updates and creating robust operational monitoring.
investigating the impact of new technologies on the future of digital banking and the financial world of tomorrow
the ideal candidate will be:
curious: you ask why, you explore, you’re not afraid to blurt out your disruptive idea. you probably know python, scala, or java and are constantly exploring new open source tools, and hitting up stack overflow on a regular basis.
a wrangler: you know how to programmatically extract data from a database and an api, bring it through a transformation or two, and convert into a human-readable form (matplotlib, d3 visualization, tableau, etc.).
a stickler for good software: you have a reverence for devops and don’t consider any piece of code complete without a thorough testing suite.
creative: big, undefined problems and petabytes of data don’t frighten you. you’re used to working with abstract data and you love discovering new narratives in unmined territories.
proactive: you will want to share your knowledge with your peers and contribute back to inner/open source projects which you might consume.
benefits
your choice of hardware - latest macbook pro or hp elitebook and all the monitors you want!
with manager approval, you can travel to a conference of your choice annually (senior+) - pycon, pydata, aws re:invent, kdd, etc.
various internal training opportunities across our us and canada locations
$5000/yr education budget
flexible work hours, dress code and environment
twenty-five years after capital one was started it’s still led by its founder. be ready to join a community of the smartest people you’ve ever met, who see the customer first, and want to use their data skills to make a difference.
basic qualifications:
bachelor’s degree in a quantitative field
at least 1 year of experience writing unit tests and integrating with cicd tools (jenkins, circleci, etc...)
at least 1 year of experience in open source programming languages for large scale data analysis (python, scala, or java)
at least 1 year of experience with version control system like git and github.
at least 1 year of experience with relational databases and programming in sql
preferred qualifications:
master’s degree or phd
experience working with aws (ec2, s3, lambda, rds, etc.)
experience working with advanced git workflows (pull requests, code reviews, issues, and branching)
understanding of machine learning or predictive models (scikit-learn, h2o, xgboost, or tensorflow) workflows
at least 3 years’ experience in python
at least 3 years’ experience with sql
capital one canada is an equal opportunity employer committed to fostering a diverse and inclusive work environment. we consider all qualified applicants and will meet the needs of those requiring reasonable accommodations.
if you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation, please contact capital one recruiting at 1-800-304-9102 or via email at recruitingaccommodation@capitalone.com. all information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodations.
for technical support or questions about capital one's recruiting process, please send an email to careers@capitalone.com
capital one does not provide, endorse nor guarantee and is not liable for third-party products, services, educational tools or other information available through this site.
capital one financial is made up of several different entities. please note that any position posted in canada is for capital one canada, any position posted in the united kingdom is for capital one europe and any position posted in the philippines is for capital one philippines service corp. (copssc)."
4,Data Engineer,Sun Life Financial,"Toronto, ON","at sun life, we work together, share common values and encourage growth and achievement. we offer many career paths that attract a wide variety of talent and skills. follow a path that lets your talents shine.
job description:
we are currently looking for a data engineer with a passion for turning disparate streams of data into organized and actionable analytics services and insights. as a data engineer on the data engineering and operations team, you will be joining a group of hardworking and savvy innovators who has made it their mission to find new ways to glean value out of rapidly increasing volumes of operational data in canadian operations.
to be considered for this position, you are required to complete two steps in the application process. you will need to submit an online job application and complete an online assessment.
role summary:
working within a diverse and motivated team of analytics professionals, the data engineer will lead the development of efficient data capture and transformation processes and complex data models that form the core of a new generation of analytics services and self-serve solutions for our customers in canadian operations.
what will you do?
lead development of new batch/low-latency analytical solutions that leverages both traditional and emerging technologies
design, develop and implement highly scalable data capture and transformation processes
create effective etls/elts to move large volumes of data from various operational systems to dimensional data models for analytics consumption
act as principal designer and reviewer for new data models, make data architectural decision, and provide coaching on data modeling and process design
expand and grow data existing platform capabilities to solve new data problems and challenges
ensure all automated processes preserve data integrity by managing the alignment of data availability and integration processes
support quantitative analysts and data scientists with data discovery and rapid assembly of large data sets from disparate sources
identify opportunities for new data acquisition and new uses for existing data resources
research and make recommendations for new data management technologies and software engineering practices. collaborate on decisions around the use of new tools and practices
perform quality assurance and testing according to risk assessment guidelines to minimize operational, reputation, and legal risk
define data retention policy, establish data governance best practice, and create automated anomaly detection services
document and update business continuity and disaster recovery procedures
engage in ongoing collaboration with data architects, modellers and other members to achieve common goals
provide guidance to development teams regarding best practices and design patterns for analytics solutions. coach and provide guidance to junior team members
produce and maintain support documentation for ongoing operations
act as tier-2/3 support to troubleshoot and resolve technical issues with production data models and services
what do you need to succeed?
university degree in computer science, software engineering, or equivalent
experience with hybrid data environments that leverage both distributed and relational database technologies to support analytics services
solid understanding of data warehousing principles, architecture and its implementation in complex environments
hands-on experience with development of elt/etl processes in traditional and distributed environments
experience as designer of complex dimensional data models for analytics services
experience with development for microsoft sql server analysis services or equivalent technologies
experience with various testing methodologies and user acceptance testing
solid skills in sql, python, c++, java and other languages used in data manipulation
experience with hadoop and big data technology
experience with processing large datasets from multiple sources
ability to operate effectively and independently in a dynamic, fluid environment
strong verbal and written communications skills with experience in relating complex concepts to non-technical users
demonstrated ability to exchange ideas and convey complex information clearly and concisely
proven ability to lead and drive projects and assignments to completion
assets:
experience with optimization and tuning of large data extracts for tableau
familiarity with agile development practices
understanding of itil processes incident/change/release management methodologies
knowledge of insurance or financial services industry
interested in applying? submit a job application by clicking “apply” and complete an online assessment within 24 hours of submitting your job application using the link below.

click on this link: https://apply.careerspark.com/j/6xeyvnzp49c8/l/jvxgm3otfygf to complete the online assessment after you submit your application . you will need to register with our partner career spark, using the same e-mail address used for your job application. if you complete this assessment before submitting your job application then you must return to this job posting again to complete your online job application by clicking “apply”.
the base pay range is for the primary location for which the job is posted. it may vary depending on the work location of the successful candidate or other factors. in addition to base pay, eligible sun life employees participate in various incentive plans, payment under which is discretionary and subject to individual and company performance. certain sales focused roles have sales incentive plans based on individual or group sales results.
diversity and inclusion have always been at the core of our values at sun life. a diverse workforce with wide perspectives and creative ideas benefits our clients, the communities where we operate and all of us as colleagues. we welcome applications from qualified individuals from all backgrounds.
persons with disabilities who need accommodation in the application process or those needing job postings in an alternative format may e-mail a request to thebrightside@sunlife.com.
we thank all applicants for showing an interest in this position. only those selected for an interview will be contacted.
salary range:
66,800/66 800 - 109,100/109 100
job category:
advanced analytics
posting end date:
18/08/2019"
5,Data Scientist,Guestlogix,"Toronto, ON","about guestlogix:


we take the stress out of travelling for passengers. with our platform, airlines can deliver content that lets passengers tailor their trip uniquely for themselves. this includes items and services for travelers throughout their whole trip, like priority boarding or lounge access, a tour of the eiffel tower if you're in paris, or a personalized whiskey tour if you're in dublin.


this approach to the travel experience transforms how airlines provide value to their passengers and drives ancillary revenue through every stage of the customer journey. the vision for our platform will deliver on this promise by leveraging ai to offer an extensive inventory of personalized, high-demand and custom curated content - including offers for pre, during and post travel - through an intuitive, customer centric interface delivering benefits for passengers and airlines. and we need your help to make this vision a reality.


who we are looking for:


guestlogix's vision for the future? a personalized, ai driven travel platform for a seamless and stress free travel experience for every single traveler. our data team is a massive part of that future achievement.


as part of our data and analytics team, you'll be a fundamental part of crafting business processes enterprise-wide by analyzing past and present data. you are eager to provide your burgeoning technical expertise as part of a team that takes on consistently complex ideas across a wide range of business units. you are familiar with data functions including data modelling, visualization, data profiling, data origin and lineage, report design and more. you will employ these disciplines to help create data related solutions to drive business results. we are looking for someone to work as part of a trailblazing data team who create groundbreaking analytical solutions that improve our core work enterprise wide.


what you will do here:
ingest massive volumes of structured and unstructured format data, model, transform and store it in a variety of data stores
leverage distributed and open-source computing tools (e.g. spark, hadoop, r, python) for analysis, data mining and modelling
collaborate with data engineering and operational teams to deploy models and algorithms in production, across different channels and customer platforms
create and apply model and algorithm testing strategies to measure effectiveness of models and make ongoing changes
prepare detailed documentation to outline data sources, models and algorithms used and developed
present results to business line stakeholders and help implement real data-driven changes
design and develop statistical models for usage in: personalization, recommendation engine and marketing campaigns
assess, clean, merge, and analyze large datasets
utilize advanced statistical software to develop linear/non-linear, parametric/non-parametric, and classical/machine learning based predictive modelling/data mining analytic methodologies
write clear and detailed model documentation
provide solutions and ideas to business partners to solve complex modelling and other analytic problems
what you will need to excel here:
university degree in relevant stem disciplines (mathematics, computer sciences, electrical/computer/software engineering)
minimum m.s./m.a. in a highly quantitative field (statistics, mathematics, computer science or other quantitatively-oriented degree)
strong quantitative/statistical modelling capabilities, along with 1-3 years of experience in personalization and recommendation engine model development
programming skills in java, r or python
experience with common machine learning libraries in r, python, spark
experience with unix tools and shell scripting
solid sql skills for querying relational databases (e.g., sql server, db2, mysql)
understanding of aws services like ec2,s3, rds, emr,redshift etc.
join us on our journey to make air travel a great experience again. our crew enjoys a comfortable, open and casual environment. you will have the flexibility and autonomy to innovate within small teams to build our first to market, mobile-first platform, using modern tools and methods. as if that is not enough, we provide you with a competitive salary and benefits, and provide you with the flexibility to manage work and life, along with virtually unlimited developmental opportunities to grow your skills and learn together on our journey."
6,Associate Data Scientist,Achievers,"Toronto, ON","about blackhawk network:
at achievers, our software delivers a powerful new way for companies to engage, align, and recognize employees enabling remarkable business success. every day.

we hire ambitious professionals who thrive on their entrepreneurial spirit and want to change the way the world works. as achievers employees, we are passionate about disruptive technology, welcome constant change, and understand the value of employee success in the workplace. we enjoy coming to work every day because we believe in our product and l.o.v.e. our culture. achievers is more than just a software company; we are industry leaders in the hr space.
overview:
we are looking for a highly motivated, aspiring associate data scientist with excellent analytical skills to join our team. you aim to please and stop at nothing to deliver for your clients, both internal and external. you have a preference for an aggressive, entrepreneurial company where change happens on a daily basis. you want to be challenged in your work and be recognized and rewarded when you go above and beyond (which is often!). most importantly, you want to be in a place that’s full of people like you - a players who are fiercely intelligent, share a passion for their work, and know how to have fun!
responsibilities:
we might be a good match if...

you believe data is most useful when it tells a story.
 you stay rooted with integrity for science but are not just about the numbers. you understand that for data to have true impact, it must answer a business question or address a business problem. you're excited to bridge the gap between data and business and have experience presenting your results in a clear and concise manner.
you have a curiosity for patterns and problem solving.
you get excited when given a large data set like it's a present waiting to be unwrapped and are eager to dive right in. your mind is full of past memories where you've used data models to discover new trends and correlations.
you're a self-starter.
you’re excited to dive right in and get your hands dirty in the data. you’re not afraid to revise and retarget with feedback; you know progress often means iteration, and iteration can’t happen until you get started.
you love to think outside the box.
you're not afraid to experiment and test out new theories or models, even if they fail. you've always got an eye out for new data tools and concepts that keeps you learning. your creative mind allows you to break away from the status quo.
you take great pride in the quality of your work.
you understand the importance of accurate data reporting and you'll double and triple check key metrics before presenting your findings.
work with the product team to measure feature usage and adoption, and uncover insights to guide future product investments.work with the client success team to explore how recognition data relates to customer data and business metrics.develop data models and algorithms to discover patterns and trends.use a wide range of tools for your data mining and analysis needs.test, validate, and refine your hypotheses with customer data.prepare and present your findings to stakeholders, such as through white papers, infographics, presentations, or workshops.explore and research new data tools and concepts.support the vision of making achievers and our customers smarter with data, through enabling data-driven decision-making and smarter actions in a variety of ways.
qualifications:
h.bsc or m.s. degree preferred, with concentration in statistics, economics, behavioural sciences, applied sciences of any kind, or another quantitative field.have 1-3 years experience analyzing product and/or saas client data.have excellent knowledge of sql/bi tools such as microstrategy or tableau.knowledge of machine learning methodologies/statistical modeling (regression, classification and unsupervised approaches)strong programming skills, with a preference for python.data presentation and visualization skills.have a strong background in quantitative thinking, experimental design, data analysis, statistical analysis (regression, factor analysis, etc.).are fluent in desktop applications (excel, office 365).have a deep appreciation for scientific and data integrity, attention to detail, and a client/end-user focus.are a self-starter with a sense of urgency, solution-orientation, and ability to pivot to address feedback and changing priorities.

excited yet? here’s more about us …
achievers is passionate about employee success™. our software and services™ help companies inspire employees globally and drive business success. our software delivers the tools your employees need to perform and stay engaged, and our services provide you with one point-of-contact to help your employees sustain results that matter. named one of the “best places to work” in the bay area and canada, a “next generation employer of choice”, one of the “top 10 places where employees thrive”, and one of deloitte and profit’s “fastest growing companies”, achievers offers an outstanding compensation plan, competitive benefits program, generous vacation policy, limitless opportunities for personal and professional growth, and a corporate culture like no other.
this is your chance to be part of an exceptional team of people and contribute to an environment where innovation and initiative are encouraged and rewarded. if you love a challenge, share our “work hard/play hard” mentality, are passionate about the impact you make on a business, thrive on change, and continuously strive for excellence in all that you do, apply for a position with us today! for more information visit http://www.achievers.com/careers
only qualified candidates will be contacted directly.

achievers is an equal opportunity employer and as such does not discriminate on the basis of race, colour, religion, sex, national origins, age, sexual orientation, disability or any other characteristic protected by applicable laws. selection decisions are solely based on job-related factors.
achievers is committed to meeting the needs of people with disabilities in a timely manner, and will do so by preventing and removing barriers to accessibility and meeting accessibility requirements under the accessibility for ontarians with disabilities act."
7,Data Scientist,The Economical Insurance Group,"Toronto, ON","we’re looking for candidates who are on top of their game. find out what it’s like to work at economical: https://youtu.be/c2mu-vly_0q

why economical?
because a changing industry calls for a new way of doing things. an ambitious, innovative and fast-paced company, we offer exceptional training and development programs, competitive pay, great benefits, a company-matched savings plan, and paid volunteer days — all within an engaging, fun, and collaborative work environment.
founded more than 145 years ago, economical is one of canada’s leading property and casualty insurance companies. we rely on our national network of more than 800 independent brokers to sell a range of car, home, business, and farm insurance solutions. with sonnet and petline, we’re extending our reach through the direct-to-customer channel. with more than 2,400 active employees across the country and a commitment to rethinking the insurance experience, we’re poised for great things.
we’re now adding to our high-performance team to take us into the future. let’s rethink insurance, together.

** this position is available to candidates in waterloo, toronto, vancouver or montreal **

in this role, you will:
have responsibility for developing advanced pricing models, researching the latest new methods being used in data science and help us stay ahead of our competitors. this opportunity will expose you to the world of analytics and actuarial science.

your responsibilities
collection and aggregation of both structured and unstructured data from multiple sources
maintenance of existing data collection and reporting solutions
transformation of datasets to suit modelling, reporting and other purposes
build predictive models to predict insurance cost, customer demand and other more complex problems
perform validation and due diligence checks to assess data integrity
procure requested data for the analytics and actuarial teams
automate repetitive processes
your skills and experience
university degree in a quantitative field (e.g. actuarial sciences, mathematics, statistics, finance/business)
understanding of statistical methods
excellent communication and organizational skills
1-3 years of sas or sql programming experience
1-3 years of r or python programming experience
knowledge of emblem or radar an asset
preference will be given to candidates with glm and other modeling experience
at economical, we all work together to come up with big ideas — then bring them to life. we focus on our customers first, we bring our best, and we’re stronger together. if you’ve got the passion and the desire to help us reinvent insurance, let’s talk.
how to apply
to complete the online application process, you’ll need to upload your resume before you apply for the role you’re interested in. please note that only one document can be uploaded, so be sure to combine your resume and cover letter.
we are committed to providing an inclusive work environment that welcomes diversity and supports accessibility across the organization. if you require accommodation at any time during the recruitment process, please let us know by contacting: hrsharedservices@economical.com .
visit economical.com to learn more about us and what we’re up to.
economical insurance includes the following companies: economical mutual insurance company, family insurance solutions inc., sonnet insurance company, petline insurance company."
8,Data Scientist,Receptiviti,"Toronto, ON","who you are

the ideal candidate excels in a vibrant environment that demands a flexible and fast-paced approach. you should be eager to learn new technical techniques as well as new scientific concepts as needed. you are passionate about data science, from cleaning, manipulating, and processing raw text data, to digging in to surface the strongest insights from a dataset, to distilling and polishing those insights to appeal to an outside audience. you're dedicated to the pursuit of insights that are well-validated, reliable, and user-friendly. finally, you have a keen interest for understanding human behaviour, and the technical aptitude to support your passion.

what you’ll be doing


taking responsibility for customer engagements from start to finish. this means project planning, reading up on related work, using our existing code-base (and writing new code) to get the most from the data, to documenting and showcasing your findings.
drawing on your background and your teammates’ backgrounds to solve new problems as they arise and deliver insights to customers.
translating complex technical insights into simple insights that people can use.
contributing new and innovative ideas to make our client deliverables and product offerings the highest quality possible.
relying on the scientific standards and principles established within the fields of psychology and linguistics to inform the insights that you draw from data.
using a range of tools and languages to work with data, including tableau, r, python, and javascript.
playing a valuable role in cross-functional team discussions and contributing to the quality of all the work we do.
responding to input from peers and managers on all of your work. our best work is created collaboratively, and incorporating a range of good ideas and opinions into your work is critical to success.
required skills:


strong experience in data science
a strong background in math and statistics, especially in applying statistical analysis and modelling in social science contexts
a keen interest in understanding human behaviour with an understanding of concepts from psychology, economics, philosophy, sociology, and related fields
programming and computer science; you’ll be required to write your own code
strong communication and teamwork skills
ideal candidates will have:


experience or education in psychology
experience in natural language processing and/or computational linguistics
experience with statistical modelling
familiarity with standard ai modelling techniques and tools
not quite the right fit?

if this role doesn’t quite line up with your experience or objectives, but you would love to be part of this growing team, please consider sharing your resume with us regardless! above all else, receptiviti is a culture of learning- a blend of unique strengths and aptitudes go a long way, and you may have something we’re missing from this description.

about receptiviti

committed to making diversity and inclusivity part of our culture, receptiviti is an equal opportunity employer. we are passionate about providing a safe workplace where everyone is accepted and has the opportunity to grow with us."
9,Junior Data Scientist,CI Investments Inc,"Toronto, ON","about us
ci investments inc. is one of the country’s largest investment fund companies, managing over $180 billion on behalf of two million canadian investors (march 31, 2018). ci is known for its innovation and ability to adapt quickly to the changing needs of canadian investors. it provides employees with a fast-paced and challenging work environment with opportunities for advancement. ci is part of ci financial, a diverse group of financial services firms.
position: junior data scientist
location: toronto (m5j 0a3)
status: full-time
job overview
we are currently seeking a junior data scientist to join our client reporting and data management team. the successful candidate will work closely with our lead data scientist on the development of our centralized predictive analytics function. in this role, you will work on solving high-value business problems using advanced analytical techniques and tools.
what you will do
develop a comprehensive understanding of the most significant opportunities and challenges facing our business
extract and work large, complex datasets using sql and either r or python
use sophisticated predictive modelling techniques to build, validate, implement, score, and maintain advanced predictive models aimed at solving critical business problems
assist in the development of scalable cloud based machine learning production pipelines
present results in a clear and concise format to both technical and non-technical audiences
what you will bring
a proven track record of using predictive analytics to address business objectives
experience using machine learning to build accurate and actionable predictive models
previous experience with cloud data storage is an asset
experience using business intelligence tools like tableau is an asset
experience in the financial services industry is an asset
post-secondary degree in a quantitative discipline
master’s or ph.d. degree is an asset
proficient in supervised and unsupervised machine learning techniques, time series analysis and experimental design (a/b testing)
fluency with sql and either python or r
experience working with large, complex datasets
excellent communication, writing and interpersonal skills
in-depth knowledge of parametric and non-parametric statistics
familiarity with relational, sql and nosql databases
familiarity working with data preparation tools like talend is an asset
what you can expect from us
our dedication to the employee experience at ci is aimed at supporting, empowering and inspiring our talented team through:
recognition & compensation
training & development
health & well-being
communication & feedback
if you are a passionate, committed and dynamic individual, please submit your resume in confidence by clicking “apply”.
only qualified candidates selected for an interview will be contacted.
ci financial corp. and all of our affiliates (“ci”) are committed to fair and accessible employment practices and we are committed to providing accommodations for persons with disabilities. if you require accommodations in order to apply for any job opportunities, or require this posting in an additional format, please contact us at accessible.recruitment@ci.com, or call 416-681-4747. if you are contacted by ci regarding a job opportunity or testing and require accommodation in any stage of the recruitment process, please use the above contact information. we will work with all applicants to determine appropriate accommodation for individual accessibility needs."
