,experience,education
a-miglani,"Experience
Data Scientist
Company Name
RBC
Dates Employed
Jul 2018 дус Present
Employment Duration
1 yr 2 mos
Location
Toronto, Canada Area
Developed an anomaly detection system using Machine Learning Algorithms. System identifies outliers in large volumes of trade data with the goal of helping trade reviewers isolate unauthorized trade activity. Utilized pattern identification and matching techniques to determine hourly probability distribution of trade instruments making it easier to identify anomalies.
Teaching Assistant
Company Name
Simon Fraser University
Dates Employed
Jan 2018 дус Apr 2018
Employment Duration
4 mos
Location
Burnaby, British Columbia, Canada
Teaching Assistant for Data Communications and Networking.
Data Analyst
Company Name
RBC
Dates Employed
May 2017 дус Dec 2017
Employment Duration
8 mos
Location
Toronto, Ontario, Canada
Developed a recruitment solution to help the HR department overcome missed opportunities that are a result of keyword matching. Leveraged machine learning algorithms like Word2Vec (a two-layer neural network) to match the right candidate to the right job opportunities by identifying adjacent skills that are potentially re... See more
Student Intern
Company Name
Babbel
Dates Employed
Jan 2017 дус Aug 2017
Employment Duration
8 mos
Internship
Company Name
Technical University of Sofia
Dates Employed
Jun 2015 дус Jul 2015
Employment Duration
2 mos
I was among 25 students from India, who were selected for an Internship at the Technical University of Sofia in Bulgaria, based on their academic merit. During this 6-week internship, I and my team were challenged to configure a laboratory network consisting of seven Juniper Routers using Putty software. We added interfac... See more
Show 1 more experience","Education
Simon Fraser University
Degree Name
Master's degree
Field Of Study
Big Data
Dates attended or expected graduation
2016
Activities and Societies: First Semester: Machine Learning, Data Mining, Programming for Big Data 1 Second Semester: Algorithms, Programming for Big Data 2
Northern India Engineering College
Degree Name
Bachelor of Technology (B.Tech.)
Field Of Study
Computer Science
Dates attended or expected graduation
2012 дус 2016
Activities and Societies: - Events Coordinator: organized cultural events and college Fests. - Volunteered at BHUMI, an NGO dedicated to the cause of educating the under-privileged - Dedicated 10+ hours/weekly to teaching English to under-privileged children from the ages of 5-10
Amity International School
Dates attended or expected graduation
1999 дус 2012"
aklson,"Experience
Data Scientist
Company Name
IBM
Dates Employed
Mar 2017 дус Present
Employment Duration
2 yrs 6 mos
Location
Markham, Ontario
I am currently a data scientist with the IBM Digital Business Group team. My job responsibilities are mainly:
- Assisting clients in exploring their data and helping them leverage their data in making recommendations to their management teams.
- Working with start-ups in the IBM Global Entrepreneur Program (GEP) and assisting them in building complete data science pipelines for acquiring data and analyzing live streams of data.
- Advocating for data science and machine learning by co-organizing and lea... See more
Data Scientist
Company Name
Datascope Analytics
Dates Employed
Mar 2016 дус Feb 2017
Employment Duration
1 yr
Location
Greater Chicago Area
Worked as a data science consultant where I used machine learning and statistical methods to design data-driven, human-centred solutions to help clients make better decisions and build new products.
... See more
Data Science Fellow
Company Name
Insight Data Science
Dates Employed
Jun 2015 дус Feb 2016
Employment Duration
9 mos
Location
Greater New York City Area
At Insight, I built a recommender system for a student-employment facilitating start-up company, which was an online space where employers can post job listings and students can search for jobs that match their profile.
... See more
Company Name
University of Toronto
Total Duration
7 yrs 3 mos
Title
Data Science Research Assistant
Dates Employed
Sep 2010 дус Nov 2015
Employment Duration
5 yrs 3 mos
Location
